title,division,state,roster_link
Jacksonville University,D1,FL,https://judolphins.com/sports/baseball/roster/2022
James Madison University,D1,VA,https://jmusports.com/sports/baseball/roster/2022
Kansas State University,D1,KS,https://www.kstatesports.com/sports/baseball/roster/2022
Kennesaw State University,D1,GA,https://ksuowls.com/sports/baseball/roster/2022
Kent State University,D1,OH,https://kentstatesports.com/sports/baseball/roster/2022
La Salle University,D1,PA,https://goexplorers.com/sports/baseball/roster/2022
Lafayette College,D1,PA,https://www.goleopards.com/sports/baseball/roster/2022
Lamar University,D1,TX,https://lamarcardinals.com/sports/baseball/roster/2022
Lehigh University,D1,PA,https://lehighsports.com/sports/baseball/roster/2022
Liberty University,D1,VA,https://www.liberty.edu/flames/baseball/roster/?print=1
Lipscomb University,D1,TN,https://lipscombsports.com/sports/baseball/roster/2022
Long Beach State University,D1,CA,https://longbeachstate.com/sports/baseball/roster/2022
Long Island University,D1,NY,https://liuathletics.com/sports/baseball/roster/2022
Longwood University,D1,VA,https://longwoodlancers.com/sports/baseball/roster/2022
Louisiana State University,D1,LA,https://lsusports.net/sports/bsb/roster/season/2022
Louisiana Tech University,D1,LA,https://latechsports.com/sports/baseball/roster/2022
Loyola Marymount University,D1,CA,https://lmulions.com/sports/baseball/roster/2022
Manhattan College,D1,NY,https://gojaspers.com/sports/baseball/roster/2022
Marist College,D1,NY,https://goredfoxes.com/sports/baseball/roster/2022
Marshall University,D1,WV,https://herdzone.com/sports/baseball/roster/2022
McNeese State University,D1,LA,https://mcneesesports.com/sports/baseball/roster/2022
Mercer University,D1,GA,https://mercerbears.com/sports/baseball/roster/2022
Merrimack College,D1,MA,https://merrimackathletics.com/sports/baseball/roster/2022
"Miami University, Ohio",D1,OH,https://miamiredhawks.com/sports/baseball/roster/2022
Michigan State University,D1,MI,https://msuspartans.com/sports/baseball/roster/2022
Middle Tennessee State University,D1,TN,https://goblueraiders.com/sports/baseball/roster/2022
Mississippi State University,D1,MS,https://hailstate.com/sports/baseball/roster/2022
Mississippi Valley State University,D1,MS,https://mvsusports.com/sports/baseball/roster/2022
Missouri State University,D1,MO,https://missouristatebears.com/sports/baseball/roster/2022
Monmouth University,D1,NJ,https://monmouthhawks.com/sports/baseball/roster/2022
Morehead State University,D1,KY,https://msueagles.com/sports/baseball/roster/2022
Mount St. Mary's University,D1,MD,https://mountathletics.com/sports/baseball/roster/2022
Murray State University,D1,KY,https://goracers.com/sports/baseball/roster/2022
New Jersey Institute of Technology,D1,NJ,https://www.njithighlanders.com/sports/baseball/roster/2022
New Mexico State University,D1,NM,https://nmstatesports.com/sports/baseball/roster/2022
Niagara University,D1,NY,https://purpleeagles.com/sports/baseball/roster/2022
