Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Riley Silva,OF,Barton,JUCO: Division 1,A,1,2,0,1,0,0,0,0,0,0.5,0.5,0.5,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Robert Tolhurst,RHP,Southwestern,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.2,0,0,0,3,0,0.0,0,0
Robin Villenueve,LHP/1B,Weatherford,JUCO: Division 1,A,8,24,3,5,0,0,1,5,2,0.208,0.259,0.333,0.592,0,0,0.0,0,0,0,0,0,0.0,0,0
Ronnel Castro,INF,Frontier,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Russell Derbyshire,RHP,Mineral Area,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,7.0,0,0,2,7,2,2.57,1,7
Russell Young,C,Johnson County,JUCO: Division 1,A,3,8,4,4,1,0,0,4,1,0.5,0.6,0.625,1.225,0,0,0.0,0,0,0,0,0,0.0,0,0
Ryan Estey,RHP,Garden City,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6.0,0,0,5,4,9,7.5,0,9
Ryan Scott,RHP,Yavapai,JUCO: Division 1,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,0,0,0,0,0,0.0,0,1
Ryan Seungjin Yea,RHP,Northeastern,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Rylan Penner,RHP,Williston State,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2.0,0,1,3,2,3,13.5,0,3
Sam Mitcham,C/OF,Muskegon,JUCO: Division 2,A,5,10,0,4,0,0,0,1,0,0.4,0.4,0.4,0.8,0,0,0.0,0,0,0,0,0,0.0,0,0
Seth Gurr,RHP,Bossier Parish,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,14.0,3,0,5,11,3,3.21,0,10
Seungjun Song,C,South Suburban,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Simon Grinberg,C,Bossier Parish,JUCO: Division 1,A,6,17,1,5,2,0,1,5,0,0.294,0.4,0.588,0.988,0,0,0.0,0,0,0,0,0,0.0,0,0
Stefan Turino,OF,Three Rivers,JUCO: Division 1,A,2,4,2,2,1,0,0,0,0,0.5,0.667,0.75,1.417,0,0,0.0,0,0,0,0,0,0.0,0,0
Steven Bonilla-Montoya,OF,Mohawk Valley,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Tanner Boyle,UTL,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Tanner Clyne,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Tim Holyk,IF,Miles,JUCO: Division 2,A,4,15,4,7,1,0,4,10,0,0.467,0.467,1.333,1.8,0,0,0.0,0,0,0,0,0,0.0,0,0
Tory Nelson,IF,Bismarck State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Tyler Boudreau,RHP,Midland,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,9.1,0,0,8,12,5,7.71,0,10
Tyler Charette,RHP,Dawson,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4.0,0,1,4,7,2,9.0,0,4
Tyler Coakley,RHP,Vernon,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,4.1,0,0,10,3,10,20.77,0,6
Tyler Favretto,C,Crowder,JUCO: Division 1,A,2,3,0,0,0,0,0,1,0,0.0,0.4,0.0,0.4,0,0,0.0,0,0,0,0,0,0.0,0,0
Tyler Larguinho,OF,Lincoln Trail,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Tyler Smith,RHP,Williston State,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1.0,1,0,2,2,2,18.0,0,1
Tyrus Culleton,1B/C,Central Lakes,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Tyson Dias,RHP,Three Rivers,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1.0,0,0,3,4,3,27.0,0,0
Tyson Pringle,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Will Gardner,OF,Garden City,JUCO: Division 1,A,11,37,9,15,5,0,0,12,3,0.405,0.542,0.541,1.083,0,0,0.0,0,0,0,0,0,0.0,0,0
Will Potter,LHP,Western Nebraska,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,5.0,0,2,13,16,3,23.4,0,3
Zach Boivin,3B/2B,Vernon,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Zach Cole,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Zach Stark,C,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Zachariah Stylianou,RHP,Dawson,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Zachary Gaudreau,LHP,Northeastern Oklahoma A&M,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
