Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Duncan Picketts,C,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Dustin Davidson,LHP,Allen County,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Dylan Batista,RHP,Dawson,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Dylan Edmands,IF,Arizona Western,JUCO: Division 1,A,12,44,9,11,2,1,0,6,2,0.25,0.377,0.341,0.718,0,0,0.0,0,0,0,0,0,0.0,0,0
Dylan Howard,C,Western Nebraska,JUCO: Division 1,A,4,14,0,4,0,0,0,2,0,0.286,0.286,0.286,0.572,0,0,0.0,0,0,0,0,0,0.0,0,0
Dylan Smith,INF,Mohawk Valley,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Edwin Martinez,C,Genesee,JUCO: Division 3,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Eli Hernandez,RHP/1B,Western Nebraska,JUCO: Division 1,A,8,21,5,8,1,1,0,3,3,0.381,0.381,0.524,0.905,2,0,3.0,0,0,4,7,1,12.0,0,2
Ellis Vugteveen,RHP,Three Rivers,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3.1,1,1,6,4,3,16.2,0,4
Emile Boies,SS,Northeastern Oklahoma A&M,JUCO: Division 1,A,1,3,0,1,0,0,0,1,0,0.333,0.333,0.333,0.666,0,0,0.0,0,0,0,0,0,0.0,0,0
Ethan Sansaie-Edwards,OF/RHP,St. Clair County,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Evan O'Toole,RHP/OF,Iowa Western,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Gabriel Archambault,RHP,Northeastern Oklahoma A&M,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Gabriel Monterrey,INF,Roane State,JUCO: Division 1,A,10,30,3,10,0,1,0,4,0,0.333,0.355,0.4,0.755,0,0,0.0,0,0,0,0,0,0.0,0,0
Hayden Wesseling,RHP,Monroe CC,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Hunter Campese,LHP,Pensacola State,JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,1.1,0,0,2,2,3,13.5,0,1
Hunter Canning,RHP,Panola,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Hunter Houston,OF,Southwestern,JUCO: Division 1,A,2,2,0,1,0,0,0,1,0,0.5,0.667,0.5,1.167,0,0,0.0,0,0,0,0,0,0.0,0,0
